name,addr,addr_more,comment_num,score,phone_number,decoration_time,open_time,lowest_price
富润饭店(牛街店),西城区,西城区广内大街甲116号,661,4.7,010-83529929,2014,2008,320
莫泰酒店(北京王府井步行街店),东城区,东城区金鱼胡同19号（近王府井步行街，距地铁灯市口站500米）,492,4.7,010-51671666,2014,2007,422
汉庭(北京天坛店),东城区,东城区天坛路57号（近崇文门外大街）,435,4.7,010-52171234,2014,2010,200
7天连锁酒店(北京中关村理工大学店),海淀区,海淀区魏公村路8号院6号楼（魏公村路与民族大学西路交叉口）,340,4.7,010-88411855,2014,2010,453
海友酒店(北京方庄东路店),朝阳区,朝阳区左安门外饮马井45号（紫芳路与方庄东路交口往北150米）,277,4.7,010-67652115,2014,2014,218
北大荒宾馆,朝阳区,朝阳区大屯街道小营中路安慧东里21号楼,180,4.7,010-64910143,2014,1990,418
如家酒店(北京菜市口地铁站店),西城区,西城区广安门内大街104号（靠近两广路路南牛街路口向东100米）,173,4.7,010-83559688,2014,2010,360
山水时尚酒店(前门店),西城区,西城区仁民路甲11号（近仁寿路）,2051,4.7,010-63048088-0,2013,2013,360
速8酒店(北京天和晟玉泉路店),丰台区,丰台区小屯路4号院1号楼（距离玉泉路地铁口1.5公里）,833,4.7,010-68699988,2013,2009,380
汉庭(北京前门大街店),西城区,西城区西经路1号（友谊医院西门对面）,661,4.7,010-63153388,2013,2012,417
北京鑫坤宾馆,海淀区,海淀区高粱桥路59号院长河湾2号楼底商（西直门）,427,4.7,010-82191360,2013,2007,268
山水时尚酒店(北京芍药居店),朝阳区,朝阳区芍药居北里甲207号楼（北门）,356,4.7,010-52090000,2013,2007,379
北京金霖酒店,东城区,东城区珠市口东大街18号,309,4.7,010-67010006,2013,2017,616
昆泰宾馆(灵境胡同地铁站店),西城区,西城区辟才胡同宏汇园18号楼1层（地铁4号线灵境胡同站D口出西行300米，金融街附近）,294,4.7,010-66151516,2013,2010,280
如家酒店(北京牛街店),西城区,西城区牛街1号,171,4.7,010-83560662,2013,2013,408
中土大厦,海淀区,海淀区北蜂窝6号（北京西站东北侧900米）,106,4.7,010-51818888,2013,1997,1984
漳泽酒店,东城区,东城区法华南里1号楼（文章胡同巷内）,2006,4.7,010-67173366,2012,2007,204
优舍酒店,海淀区,海淀区车道沟1号,907,4.7,010-68731863/18701233685,2012,2009,246
北京格林宾馆,西城区,西城区背阴胡同甲35号（西单北大街灵境胡同中间红绿灯往南50米）,683,4.7,010-83167777,2012,2009,268
宜必思酒店(大成路店),丰台区,丰台区大成路19号（近青塔西街）,525,4.7,010-68671177/68694688,2012,2012,261
泰悦豪庭酒店,朝阳区,朝阳区南三里屯路16号（白家庄路口）,455,4.7,010-85952277,2012,2004,625
北京保利大厦,东城区,东城区东直门南大街14号（东四十条桥东北角）,149,4.7,010-65001188,2012,1992,1570
如家酒店(北京十里河地铁站店),朝阳区,朝阳区十里河桥东800米（居然之家南侧）,1450,4.7,010-87365799,2011,2011,263
锦江之星(北京珠市口店),东城区,东城区金鱼池中街西晓市街72号（金鱼池西街口）,1219,4.7,010-67025959,2011,2011,299
金凯福宾馆,海淀区,海淀区西直门北大街明光村幼四号楼明光村小区内（文慧桥西北角，天兆家园东门北侧）,875,4.7,010-62247088/62241018,2011,2007,255
7天连锁酒店(北京东四南锣鼓巷店),东城区,东城区东四六条45号,1677,4.7,010-84017688,2010,2006,326
7天优品酒店(北京五棵松店),丰台区,丰台区西四环中路82号院13号楼（华电热电厂侧面，北京长峰医院斜对面）,1198,4.7,010-59260377/59260309,2010,2010,315
7天连锁酒店(北京农大南路店),海淀区,海淀区天秀路（309医院对面）,449,4.7,010-62895767,2010,2010,463
鑫海锦江大酒店,东城区,东城区金宝街61号,237,4.7,010-58163388,2010,2005,1081
华利佳合商务酒店,西城区,西城区月坛南街中段三里河一区乙68号（近三里河邮局北）,68,4.7,010-68536118/68516303,2010,2010,226
山水时尚酒店(北京西站店),丰台区,丰台区太平桥路44号（太平桥路和马连道南街交叉口处，电力医院东门往南300米红绿灯旁）,840,4.7,010-52253333,2008,2008,329
7天连锁酒店(北京大观园店),西城区,西城区鸭子桥路39号（白纸坊桥西丁字路口左转400米）,585,4.7,010-63301688,2008,2007,231
永兴花园饭店,海淀区,海淀区阜成路101号,160,4.7,010-88111188,2008,2002,586
北京凯迪克格兰云天大酒店,朝阳区,朝阳区亚运村北辰东路18号,160,4.7,010-84971188,2008,2008,1012
汉庭(北京中关村南店),海淀区,海淀区大柳树路甲17号院（近大慧寺）,584,4.7,010-62131818,2007,2007,370
如家联盟华驿酒店(北京南站北广场东店),东城区,东城区永外车站路20号（北京南站北广场往东400米，永定门长途汽车站售票大厅门口旁）,609,4.6,010-83109796,2018,2018,178
盛厦宾馆,朝阳区,朝阳区东三环北路16号农展馆新馆南路农展南里底商（近农展馆南路）,437,4.6,010-65916188,2018,2010,98
国瑞百捷酒店(北京站崇文门店),东城区,东城区北花市大街9号国瑞城东区1号楼（临近北京站、崇文门5号线地铁口G口出）,24361,4.6,010-67161055,2017,2010,253
高迪莱克优选酒店,朝阳区,朝阳区小天竺路3号（北京国都大饭店南门对面，距机场2.5千米）,3526,4.6,010-64571058,2017,2016,218
百时快捷酒店(北京天坛店),东城区,东城区法华南里10号（近地铁5号线天坛东门站B口出）,1727,4.6,010-67155599,2017,2009,170
青年酒店(后海店),西城区,西城区鼓楼西大街207号（后海地区，近地铁站2号线积水潭地铁C出口站）,1490,4.6,010-64010868/64019008,2017,2015,60
凯逸酒店,丰台区,丰台区西四环南路38号,1181,4.6,010-63836658/63856797,2017,2010,200
朵哈快捷酒店(儿童医院店),西城区,西城区白云路7号院,749,4.6,010-63480890,2017,2017,268
七巧屋时尚酒店(宋家庄地铁站店),丰台区,丰台区宋庄路73号甲1号楼（地铁5号10号亦庄线交汇宋家庄地铁站G出口西2米）,729,4.6,010-67677678,2017,2017,291
万泰星怡酒店,丰台区,丰台区马家堡路23号,683,4.6,010-56189000,2017,2017,169
蓉蓉酒店,海淀区,海淀区万泉庄路万泉庄北社区10号楼,329,4.6,010-82661552,2017,2013,310
北京麦特酒店公寓,朝阳区,朝阳区建华南路6号院地杰长安驿A座,316,4.6,15311707171,2017,2017,428
希岸酒店(北京天桥店),西城区,西城区东经路42号,103,4.6,010-63032968/13521330205,2017,2017,391
格林联盟酒店(北京天坛东门店),东城区,东城区体育馆西路7-2号（红桥市场东100米）,3915,4.6,010-67120090/67129680,2016,2009,279
99优选酒店(北京达官营地铁站店),西城区,西城区广安门外大街305号八区荣丰2008小区南门16号楼（地铁7号线达官营站B口向北200米）,1691,4.6,010-51930555/51930155,2016,2016,217
速8酒店(北京鸟巢民族园西路店),朝阳区,朝阳区亚运村民族园西路华严北里小区51号楼（距离健德门地铁站900米）,1181,4.6,010-62027399/62021899/13911264482,2016,2016,390
速8酒店(北京南站洋桥店),丰台区,丰台区马家堡东路71号立业大厦三层（洋桥南300米）,936,4.6,010-51165025/51165027/13381418810/15810189760,2016,2016,241
阜成门宾馆,西城区,西城区南礼士路3号（阜外医院东门南150米、无停车位）,883,4.6,010-68016701,2016,2012,438
百时快捷酒店(北京广安门店),西城区,西城区广安门南街56号（白纸坊桥东南侧300米，近大观园）,715,4.6,010-83518199,2016,2011,149
凯宾健身酒店,丰台区,丰台区西四环中路130号（岳各庄桥东侧辅路，岳各庄批发市场北侧）,638,4.6,010-51211618,2016,2017,254
99优选酒店(北京天桥永安路店),西城区,西城区永安路102号南（新华书店-标准计量书店，徐悲鸿初中部旁）,548,4.6,010-83139986,2016,2016,189
汉庭(北京四惠东地铁站店),朝阳区,朝阳区康家沟145号院内（一号线地铁四惠东站B出口向东100米）,402,4.6,010-63782666,2016,2016,360
速8酒店(北京潘家园地铁站店),朝阳区,朝阳区松榆西里45号楼东三环边（潘家园桥东南角，距潘家园地铁站200米）,364,4.6,010-61057888,2016,2016,268
7天连锁酒店(北京南站南广场洋桥店),丰台区,丰台区马家堡路洋桥北里小区20号楼,321,4.6,010-87271558/67232131,2016,2016,284
海友酒店(北京天安门广场店),西城区,西城区西河沿街135号,218,4.6,010-83151371,2016,2016,294
布丁酒店(北京西站店),丰台区,丰台区西三环南路甲6号（国统宾馆对面）,7041,4.6,010-65025188/63334266,2015,2015,199
锦江之星(北京清华东门店)(原双清路店),海淀区,海淀区双清路1号2号楼（地铁15号线清华东路西口站向北2公里）,1231,4.6,010-62955757,2015,2013,322
7天连锁酒店(北京三元桥地铁站国展中心店),朝阳区,朝阳区七圣南路西坝河南里3号楼（距国际展览中心西门100米）,1167,4.6,010-64615156,2015,2015,242
北京和平街宾馆(原云龙之星宾馆),朝阳区,朝阳区和平里东街和平街十三区4号楼（近地铁5号线和平西桥站B口）,1010,4.6,010-64220570,2015,2008,268
有家国际青年旅舍,朝阳区,朝阳区朝阳路金台里10号楼（红庙路口北公交站南120米）,545,4.6,010-65976597,2015,2006,169
途179mini酒店(西单店),西城区,西城区太仆寺街48号,333,4.6,010-66010505,2015,2015,264
美景客栈(潘家园店),朝阳区,朝阳区华威南路潘家园十里河弘善家园116号楼,277,4.6,13910836101,2015,2015,221
新世盛唐快捷酒店,朝阳区,朝阳区左安门外紫芳路5号院3号楼（紫芳路与方庄东路交汇处，新坐标小区南门对面）,123,4.6,010-87610065/87610067,2015,2010,252
卡普连锁酒店(北京南站店),丰台区,丰台区马家堡东路57号,4566,4.6,010-83160606-0,2014,2014,199
玖玖酒店(北京南站店),丰台区,丰台区右安门外大街与玉林南路交汇处往东100米（金彩摇篮幼儿园二楼）,2514,4.6,010-58492010/15340035614,2014,2011,147
7天连锁酒店(北京西客站北广场店),丰台区,丰台区莲花池东路126号,1789,4.6,010-63977719,2014,2007,305
五通快捷酒店(北京站店),东城区,东城区站盔甲厂2号（紧邻北京站，距离北京站200米）,828,4.6,010-65267685,2014,2014,155
观唐假日酒店,朝阳区,朝阳区北苑路甲176号（欧陆经典大厦西南角）,668,4.6,010-64921818,2014,2013,310
如家酒店(北京工体蓝岛店),朝阳区,朝阳区芳草地西街15号,406,4.6,010-53525777,2014,2014,386
北京奥加美术馆酒店,朝阳区,朝阳区东直门外大街26号（澳大利亚、加拿大使馆对面）,346,4.6,010-64153388,2014,2003,554
格林豪泰快捷酒店(北京房山长阳镇加州水郡店),房山区,房山区长阳镇溪雅苑路13号,293,4.6,010-60305611,2014,2014,217
北京山西大厦金辇酒店,丰台区,丰台区南三环西路洋桥西里甲1号山西大厦,125,4.6,010-87899999,2014,2014,890
世纪星豪酒店,海淀区,海淀区蓝靛厂东路金源购物中心B座地铁10号线长春桥A口向西,2808,4.6,010-88841399/18801021859,2013,2013,435
利合家美酒店(西站北广场店),丰台区,丰台区莲花池东路120号-2号（近西站北广场）,1095,4.6,010-51931118,2013,2011,246
7天连锁酒店(北京方庄地铁站店)(原北京方庄桥店),丰台区,丰台区左安门外于家坟157号（方庄桥南500米）,526,4.6,010-87526100/61004191,2013,2013,189
吉尔达宾馆,西城区,西城区大栅栏街11号,510,4.6,010-83150793,2013,2014,168
格林联盟酒店(北京明光桥店),海淀区,海淀区明光路9号（明光桥往西200米左右路北）,259,4.6,010-62267992,2013,2013,322
鄂尔多斯艾力酒店,东城区,东城区金宝街18号（金宝街与宝盖胡同交汇处）,184,4.6,010-58121888,2013,2008,764
浙江大厦,朝阳区,朝阳区北三环中路安贞西里三区26号,133,4.6,010-64453388,2013,2002,888
汉庭(北京工业大学店),朝阳区,朝阳区西大望路松榆东里14号楼（工业大学西门向南200米）,786,4.6,010-87376362,2012,2012,389
康福瑞连锁酒店(北京学院南路店),海淀区,海淀区学院南路33号（中央财经大学东侧，近地铁13号线大钟寺站A口）,726,4.6,010-62186218,2012,2006,549
北京贝尔特酒店,东城区,东城区崇文门外大街3-18号（近新世界商场）,689,4.6,010-67081188,2012,1998,770
